distance	fraction	yerr_low	yerr_high

1.58400000e+01	9.84187223e-01	2.48307443e-02	9.75642232e-03
3.15200000e+01	9.86222100e-01	2.17189094e-02	8.50276096e-03
4.72000000e+01	9.43406904e-01	4.07047336e-02	2.42852963e-02
6.28800000e+01	1.00000000e+00	1.37287205e-02	0.00000000e+00
7.85600000e+01	9.83947120e-01	2.48466309e-02	9.84981901e-03
9.42400000e+01	8.97410940e-01	5.01977836e-02	3.50207380e-02
1.09920000e+02	8.80198337e-01	4.71670509e-02	3.51960705e-02
1.25600000e+02	7.22637014e-01	5.95735865e-02	5.26107401e-02
1.41280000e+02	5.68922306e-01	6.94243243e-02	6.68170875e-02
1.56960000e+02	4.55808869e-01	6.10799638e-02	6.24388546e-02
1.72640000e+02	2.95818815e-01	5.63299668e-02	6.33224731e-02
1.88320000e+02	2.12038552e-01	4.97251513e-02	6.00113255e-02
2.04000000e+02	1.16024054e-01	3.60700660e-02	4.94164666e-02
2.19680000e+02	1.37628605e-01	3.87637061e-02	5.07846513e-02
2.35360000e+02	6.21161362e-02	2.29260427e-02	3.49823165e-02
2.51040000e+02	9.48205878e-02	3.11190897e-02	4.40661871e-02
2.66720000e+02	2.19812003e-02	1.19711770e-02	2.55996531e-02
2.82400000e+02	2.92638317e-02	1.47599427e-02	2.88940418e-02
2.98080000e+02	5.00156299e-03	3.98467689e-03	1.92200858e-02
3.13760000e+02	2.58319404e-03	2.24993817e-03	1.71404278e-02
3.29440000e+02	2.64861683e-02	1.49544630e-02	3.31770465e-02
3.45120000e+02	8.21281914e-03	6.11441917e-03	2.33670829e-02
3.60800000e+02	3.15556958e-04	3.09486274e-04	1.58324575e-02
3.76480000e+02	0.00000000e+00	0.00000000e+00	1.77556818e-02
3.92160000e+02	0.00000000e+00	0.00000000e+00	1.73250173e-02
4.07840000e+02	0.00000000e+00	0.00000000e+00	1.83083120e-02
4.23520000e+02	0.00000000e+00	0.00000000e+00	1.69952413e-02
4.39200000e+02	0.00000000e+00	0.00000000e+00	1.59413359e-02
4.54880000e+02	0.00000000e+00	0.00000000e+00	1.46563095e-02
4.70560000e+02	0.00000000e+00	0.00000000e+00	1.72711572e-02
4.86240000e+02	0.00000000e+00	0.00000000e+00	1.78667143e-02
5.01920000e+02	0.00000000e+00	0.00000000e+00	1.73280194e-02
5.17600000e+02	0.00000000e+00	0.00000000e+00	1.63105529e-02
5.33280000e+02	0.00000000e+00	0.00000000e+00	1.42531357e-02
5.48960000e+02	0.00000000e+00	0.00000000e+00	1.41143260e-02
5.64640000e+02	0.00000000e+00	0.00000000e+00	1.51791135e-02
5.80320000e+02	0.00000000e+00	0.00000000e+00	1.58553988e-02
5.96000000e+02	0.00000000e+00	0.00000000e+00	1.56617071e-02
6.11680000e+02	0.00000000e+00	0.00000000e+00	1.63934426e-02
6.27360000e+02	0.00000000e+00	0.00000000e+00	1.68520391e-02
6.43040000e+02	0.00000000e+00	0.00000000e+00	1.67196121e-02
6.58720000e+02	0.00000000e+00	0.00000000e+00	1.64663264e-02
6.74400000e+02	0.00000000e+00	0.00000000e+00	1.56690693e-02
6.90080000e+02	0.00000000e+00	0.00000000e+00	1.50715901e-02
7.05760000e+02	0.00000000e+00	0.00000000e+00	1.56470036e-02
7.21440000e+02	0.00000000e+00	0.00000000e+00	1.71438368e-02
7.37120000e+02	0.00000000e+00	0.00000000e+00	1.62813416e-02
7.52800000e+02	0.00000000e+00	0.00000000e+00	1.57505119e-02
7.68480000e+02	0.00000000e+00	0.00000000e+00	1.71320884e-02
7.84160000e+02	0.00000000e+00	0.00000000e+00	2.43486730e-02
